id,name,episode,agent,kill,death,time
19,enemy,2,Artisan,17.0,1,37
19,enemy,3,Guardian,8.0,1,27
19,enemy,4,Explorer,13.0,1,32
19,enemy,5,Conqueror,62.0,0,60
19,enemy,6,Manager,28.0,1,43
19,enemy,7,Artisan,2.0,1,12
19,enemy,8,Guardian,12.0,1,21
19,enemy,9,Explorer,24.0,1,24
20,enemy,0,Conqueror,38.0,0,60
20,enemy,1,Manager,38.0,0,60
20,enemy,2,Artisan,18.0,1,23
20,enemy,3,Guardian,0.0,0,60
20,enemy,4,Explorer,1.0,1,11
20,enemy,5,Conqueror,27.0,1,55
20,enemy,6,Manager,53.0,0,60
20,enemy,7,Artisan,0.0,1,10
20,enemy,8,Guardian,10.0,1,35
20,enemy,9,Explorer,1.0,1,17
21,enemy,0,Conqueror,41.0,0,60
21,enemy,1,Manager,40.0,0,60
21,enemy,2,Artisan,19.0,1,39
21,enemy,3,Guardian,0.0,0,60
21,enemy,4,Explorer,2.0,1,12
21,enemy,5,Conqueror,19.0,1,19
21,enemy,6,Manager,48.0,0,60
21,enemy,7,Artisan,15.0,1,35
21,enemy,8,Guardian,0.0,0,60
21,enemy,9,Explorer,10.0,1,25
22,enemy,0,Conqueror,44.0,0,60
22,enemy,1,Manager,49.0,0,60
22,enemy,2,Artisan,22.0,1,27
22,enemy,3,Guardian,8.0,1,21
22,enemy,4,Explorer,9.0,1,29
22,enemy,5,Conqueror,10.0,1,15
22,enemy,6,Manager,41.0,0,60
22,enemy,7,Artisan,17.0,1,23
22,enemy,8,Guardian,12.0,1,35
22,enemy,9,Explorer,15.0,1,29
23,enemy,0,Conqueror,13.0,1,21
23,enemy,1,Manager,10.0,1,32
23,enemy,2,Artisan,14.0,1,35
23,enemy,3,Guardian,16.0,1,39
23,enemy,4,Explorer,0.0,1,7
23,enemy,5,Conqueror,41.0,0,60
23,enemy,6,Manager,42.0,0,60
23,enemy,7,Artisan,14.0,1,35
23,enemy,8,Guardian,3.0,1,17
23,enemy,9,Explorer,1.0,1,12
24,enemy,0,Conqueror,41.0,0,60
24,enemy,1,Manager,18.0,1,37
24,enemy,2,Artisan,7.0,1,14
24,enemy,3,Guardian,0.0,0,60
24,enemy,4,Explorer,12.0,1,38
24,enemy,5,Conqueror,44.0,0,60
24,enemy,6,Manager,41.0,0,60
24,enemy,7,Artisan,14.0,1,34
24,enemy,8,Guardian,1.0,1,13
24,enemy,9,Explorer,12.0,1,33
25,enemy,0,Conqueror,9.0,1,32
25,enemy,1,Manager,14.0,1,33
25,enemy,2,Artisan,8.0,1,13
25,enemy,3,Guardian,6.0,1,21
25,enemy,4,Explorer,6.0,1,17
25,enemy,5,Conqueror,41.0,0,60
25,enemy,6,Manager,60.0,0,60
25,enemy,7,Artisan,24.0,1,33
25,enemy,8,Guardian,0.0,0,60
25,enemy,9,Explorer,19.0,1,46
26,enemy,0,Conqueror,50.0,0,60
26,enemy,1,Manager,14.0,1,31
26,enemy,2,Artisan,21.0,1,31
26,enemy,3,Guardian,7.0,1,21
26,enemy,4,Explorer,1.0,1,12
26,enemy,5,Conqueror,46.0,0,60
26,enemy,6,Manager,47.0,0,60
26,enemy,7,Artisan,3.0,1,10
